sawtooth,data,point
0.0,2,56
5.1196875,11,57
10.239375,19,58
15.3590625,24,59
20.47875,31,60
25.5984375,36,61
30.718125,41,62
35.8378125,39,63
40.9575,46,0
46.0771875,51,1
51.196875,52,2
56.3165625,58,3
61.43625,64,4
66.5559375,66,5
71.675625,72,6
76.7953125,80,7
81.915,81,8
87.0346875,91,9
92.154375,97,10
97.2740625,104,11
102.39375,113,12
107.5134375,117,13
112.633125,117,14
117.7528125,124,15
122.8725,125,16
127.9921875,128,17
133.111875,133,18
138.2315625,138,19
143.35125,141,20
148.4709375,144,21
153.590625,147,22
158.7103125,155,23
163.83,165,24
168.9496875,170,25
174.069375,176,26
179.1890625,187,27
184.30875,193,28
189.4284375,198,29
194.548125,198,30
199.6678125,207,31
204.7875,206,32
209.9071875,209,33
215.026875,215,34
220.1465625,221,35
225.26625,222,36
230.3859375,228,37
235.505625,231,38
240.6253125,237,39
245.745,244,40
250.8646875,251,41
255.984375,260,42
261.1040625,267,43
266.22375,270,44
271.3434375,277,45
276.463125,277,46
281.5828125,286,47
286.7025,285,48
291.8221875,288,49
296.941875,292,50
302.0615625,297,51
307.18125,298,52
312.3009375,305,53
317.420625,307,54
322.5403125,313,55
327.66,320,56
332.7796875,328,57
337.899375,337,58
343.0190625,344,59
348.13875,349,60
353.2584375,356,61
358.378125,360,62
363.4978125,368,63
368.6175,365,0
373.7371875,367,1
378.856875,372,2
383.9765625,377,3
389.09625,382,4
394.2159375,388,5
399.335625,393,6
404.4553125,394,7
409.575,402,8
414.6946875,409,9
419.814375,415,10
424.9340625,421,11
430.05375,429,12
435.1734375,436,13
440.293125,435,14
445.4128125,441,15
450.5325,445,16
455.6521875,447,17
460.771875,450,18
465.8915625,453,19
471.01125,459,20
476.1309375,464,21
481.250625,465,22
486.3703125,472,23
491.49,477,24
496.6096875,485,25
501.729375,494,26
506.8490625,500,27
511.96875,505,28
517.0884375,512,29
522.208125,516,30
527.3278125,521,31
532.4475,520,32
537.5671875,523,33
542.686875,532,34
547.8065625,533,35
552.92625,539,36
558.0459375,543,37
563.165625,547,38
568.2853125,553,39
573.405,562,40
578.5246875,567,41
583.644375,574,42
588.7640625,581,43
593.88375,590,44
599.0034375,590,45
604.123125,595,46
609.2428125,600,47
614.3625,600,48
619.4821875,601,49
624.601875,607,50
629.7215625,610,51
634.84125,615,52
639.9609375,619,53
645.080625,622,54
650.2003125,628,55
655.32,633,56
660.4396875,640,57
665.559375,651,58
670.6790625,657,59
675.79875,661,60
680.9184375,667,61
686.038125,672,62
691.1578125,679,63
696.2775,680,0
701.3971875,681,1
706.516875,687,2
711.6365625,689,3
716.75625,691,4
721.8759375,702,5
726.995625,704,6
732.1153125,708,7
737.235,715,8
742.3546875,723,9
747.474375,731,10
752.5940625,736,11
757.71375,740,12
762.8334375,745,13
767.953125,747,14
773.0728125,754,15
778.1925,753,16
783.3121875,757,17
788.431875,762,18
793.5515625,766,19
798.67125,770,20
803.7909375,773,21
808.910625,781,22
814.0303125,784,23
819.15,792,24
824.2696875,797,25
829.389375,807,26
834.5090625,809,27
839.62875,820,28
844.7484375,822,29
849.868125,828,30
854.9878125,835,31
860.1075,833,32
865.2271875,836,33
870.346875,843,34
875.4665625,846,35
880.58625,848,36
885.7059375,854,37
890.825625,856,38
895.9453125,868,39
901.065,873,40
906.1846875,876,41
911.304375,887,42
916.4240625,893,43
921.54375,896,44
926.6634375,903,45
931.783125,906,46
936.9028125,910,47
942.0225,911,48
947.1421875,912,49
952.261875,920,50
957.3815625,923,51
962.50125,924,52
967.6209375,929,53
972.740625,931,54
977.8603125,940,55
982.98,945,56
988.0996875,954,57
993.219375,963,58
998.3390625,967,59
1003.45875,971,60
1008.5784375,979,61
1013.698125,984,62
1018.8178125,988,63
1023.9375,988,0
1029.0571875,991,1
1034.176875,998,2
1039.2965625,999,3
1044.41625,1004,4
1049.5359375,1008,5
1054.655625,1014,6
1059.7753125,1020,7
1064.895,1025,8
1070.0146875,1033,9
1075.134375,1040,10
1080.2540625,1047,11
1085.37375,1050,12
1090.4934375,1056,13
1095.613125,1060,14
1100.7328125,1066,15
1105.8525,1068,16
1110.9721875,1069,17
1116.091875,1075,18
1121.2115625,1075,19
1126.33125,1082,20
1131.4509375,1085,21
1136.570625,1090,22
1141.6903125,1095,23
1146.81,1098,24
1151.9296875,1106,25
1157.049375,1118,26
1162.1690625,1124,27
1167.28875,1131,28
1172.4084375,1137,29
1177.528125,1140,30
1182.6478125,1142,31
1187.7675,1146,32
1192.8871875,1146,33
1198.006875,1154,34
1203.1265625,1158,35
1208.24625,1161,36
1213.3659375,1165,37
1218.485625,1167,38
1223.6053125,1176,39
1228.725,1184,40
1233.8446875,1189,41
1238.964375,1197,42
1244.0840625,1203,43
1249.20375,1210,44
1254.3234375,1215,45
1259.443125,1219,46
1264.5628125,1226,47
1269.6825,1222,48
1274.8021875,1224,49
1279.921875,1231,50
1285.0415625,1236,51
1290.16125,1237,52
1295.2809375,1244,53
1300.400625,1247,54
1305.5203125,1252,55
1310.64,1260,56
1315.7596875,1267,57
1320.879375,1274,58
1325.9990625,1282,59
1331.11875,1287,60
1336.2384375,1293,61
1341.358125,1301,62
1346.4778125,1302,63
1351.5975,1302,0
1356.7171875,1305,1
1361.836875,1311,2
1366.9565625,1313,3
1372.07625,1320,4
1377.1959375,1324,5
